placename,species,pig_present_at_site,radtime
B13,White-tailed Deer,yes,5.192354525
B13,White-tailed Deer,yes,1.771509191
B13,White-tailed Deer,yes,4.729842273
B13,Wild Pig,NA,1.400626725
B13,White-tailed Deer,yes,1.762782545
B13,White-tailed Deer,yes,2.260201381
B13,Wild Pig,NA,3.268129024
B14,Wild Pig,NA,1.518436449
B14,White-tailed Deer,yes,2.081305133
B14,White-tailed Deer,yes,4.996004984
B14,Wild Pig,NA,5.689773362
B14,Wild Pig,NA,5.851216317
B14,Wild Pig,NA,6.108652382
B14,Wild Pig,NA,1.099557429
B14,Wild Pig,NA,2.103121749
B14,Wild Pig,NA,3.983714018
B14,Wild Pig,NA,5.737769916
B14,Wild Pig,NA,6.121742351
B14,Wild Pig,NA,0.549778714
B14,Wild Pig,NA,1.230457123
B14,Wild Pig,NA,1.928588823
B14,Wild Pig,NA,5.960299396
B14,Wild Pig,NA,0.004363323
B14,Wild Pig,NA,1.012290966
B14,Wild Pig,NA,1.531526419
B14,Wild Pig,NA,3.42957198
B14,White-tailed Deer,yes,3.682644722
B14,Wild Pig,NA,3.844087678
B14,Wild Pig,NA,5.362524127
B14,Wild Pig,NA,5.685410038
B14,Wild Pig,NA,0.082903139
B14,Wild Pig,NA,0.305432619
B14,Wild Pig,NA,0.667588439
B14,Wild Pig,NA,1.540253065
B14,Wild Pig,NA,3.172135915
B14,Wild Pig,NA,5.624323515
B14,Wild Pig,NA,1.247910415
B14,Wild Pig,NA,1.819505745
B14,Wild Pig,NA,2.111848395
B14,Wild Pig,NA,2.364921136
B14,White-tailed Deer,yes,4.921828491
B14,Wild Pig,NA,5.606870222
B14,Wild Pig,NA,0.15271631
B14,Wild Pig,NA,0.436332313
B14,Wild Pig,NA,0.789761487
B14,Wild Pig,NA,1.793325806
B14,Wild Pig,NA,1.976585378
B14,White-tailed Deer,yes,2.42600766
B14,White-tailed Deer,yes,4.031710572
B14,White-tailed Deer,yes,4.603305902
B14,White-tailed Deer,yes,5.205444494
B14,Wild Pig,NA,5.21417114
B14,White-tailed Deer,yes,6.099925736
B14,Wild Pig,NA,0.034906585
B14,Wild Pig,NA,0.427605667
B14,Wild Pig,NA,1.090830782
B14,Wild Pig,NA,2.491457507
B14,White-tailed Deer,yes,4.790928797
B14,Wild Pig,NA,4.904375198
B14,Wild Pig,NA,5.279620987
B14,Wild Pig,NA,0.340339204
B14,Wild Pig,NA,0.78103484
B14,White-tailed Deer,yes,1.631882851
B14,Wild Pig,NA,1.79768913
B14,Wild Pig,NA,2.081305133
B15,Wild Pig,NA,0.785398163
B15,Wild Pig,NA,1.090830782
B15,White-tailed Deer,yes,5.253441049
B15,Wild Pig,NA,5.471607205
B15,Wild Pig,NA,6.239552076
B15,Wild Pig,NA,0.658861793
B15,White-tailed Deer,yes,1.029744259
B15,White-tailed Deer,yes,5.497787144
B15,Wild Pig,NA,5.689773362
